Molecules,58000000,114000000,128000000,130000000,137000000,605000000,639000000,641000000,646000000,660000000,690000000,693000000,716000000,723000000,960000000,987000000,1040000000,1110000000,1113000000,1234000000,1253000000,1256000000,1365000000,1370000000,1375000000
656230,2.82418733,0.00409852159,11.85,-0.375489338,3,457,0,0,1,0,18,0,0.873976821,3,-501.166544,-24.1619724,-0.00954262509,0.0869831892,-0.240373484,0.960278991,3.92009356,3.23247308,0,0,0
797232,2.93655136,-0.000827843312,11.85,-0.348740837,2,528,0,0,1,0,14,0,0.764884752,3,336.91672,20.110759,-0.0402203613,0.125728145,-0.105939325,0.960278991,3.95436005,3.26313385,0,0,0
2913330,3.06757749,-0.00967551311,11.85,-0.357795773,1,512,0,0,1,0,10,0,0.831239604,2,-358.476124,-8.43545957,-0.0211205332,0.0384583056,-0.203597323,1.18270137,4.08,3.62213603,0,0,0
3243149,3.06605446,-0.0684845845,11.85,-0.348723422,1,375,0,0,1,0,15,3,0.958754623,2,-410.830143,-3.57435217,-0.0389718316,0.0908058032,-0.0801870302,0.960278991,4.0306172,3.22926583,0,0,0
3243917,3.16272269,-0.0816462548,11.9966402,-0.337996366,1,913,0,1,1,0,21,0,0.961581826,4,467.852938,11.7417074,-0.0377384596,0.00160080357,-0.0468070894,1.38993913,4.05048633,3.81841076,0,0,0
5308264,3.02750846,-0.0923237229,11.85,-0.360450914,1,499,0,0,1,0,21,0,0.778843853,3,-285.519417,6.50749117,0.00820965676,-0.0471994326,-0.0302583251,1.04550027,4.14305138,3.47814181,0,0,0
666397,3.17611025,-0.031694093,11.9884883,-0.263371478,3,195,0,1,0,1,14,0,0.786966156,3,-2.77179859,-1.05660563,0.0648816085,-0.052997576,-0.0286752521,0.00233244877,3.83545988,2.61007657,0,1,0
703016,3.32818431,0.0643630689,11.9937325,-0.357626179,2,372,0,1,1,0,20,0,0.820875584,3,-4.79044877,4.4016624,0.0180536696,0.0274671383,0.102774472,0.960278991,4.04099112,3.18822669,0,0,0
712899,2.75642546,-0.0420555942,11.85,-0.280376497,2,454,0,1,0,0,16,4,0.938206742,2,39.2819195,-19.7580452,-0.0641270826,-0.0549660036,-0.0649947953,1.05826267,4.62582043,3.36389902,0,0,0
