Molecules,58000000,114000000,128000000,130000000,137000000,605000000,639000000,641000000,646000000,660000000,690000000,693000000,716000000,723000000,960000000,987000000,1040000000,1110000000,1113000000,1234000000,1253000000,1256000000,1365000000,1370000000,1375000000
749826,2.73608996,-0.0716841986,11.9,-0.293656186,1,327,0,1,0,0,15,0,0.848976831,2,-106.774435,-9.34980783,-0.0640818413,-0.0246367468,0.101815211,1.05826267,4.6766642,3.42683129,0,0,0
887464,3.0670315,0.151093833,11.9884152,-0.275416413,1,212,0,1,0,0,14,0,0.872436271,2,-437.023586,-6.20925709,-0.0268379862,0.025728988,-0.271818182,0.758653072,3.94969828,2.9801822,0,0,0
976363,3.18994646,-0.0449231167,11.9936922,-0.359895456,3,474,0,1,1,0,20,0,0.798305087,3,-320.860192,2.56567803,-0.0208443312,0.144803124,0.146940848,1.21781816,4.02509719,3.24527438,0,0,0
2212050,2.79876635,-0.0221238221,11.85,-0.272423322,1,333,0,1,0,0,17,2,0.673470482,3,-542.524666,-0.508188208,0.0338082354,0.189937548,-0.235526193,0.904978652,4.04188691,3.13194557,0,2,0
3236240,3.05898409,0.172132542,11.9943137,-0.378036911,2,573,1,0,1,0,21,0,0.844169917,3,37.2225577,-2.36938843,-0.0306394709,0.0451511131,0.0553783631,1.12520777,4.71308518,3.78511194,0,2,0
3238191,3.26698219,-0.0897057669,11.9979666,-0.273168527,3,363,0,0,1,2,13,0,0.852194046,3,-253.899588,8.63399415,-0.088520607,0.0896667388,-0.158553092,0.909089367,3.97706532,2.99110399,0,0,0
658778,2.84752391,0.171484641,11.85,-0.312215974,5,731,0,0,1,0,25,2,0.87906121,3,-125.445462,3.42872132,0.00993698161,-0.0827092499,0.0344401631,1.23907576,4.5827595,3.72537216,1,0,0
663743,3.38367003,0.03604885,11.85,-0.297133728,1,643,0,0,1,0,8,3,0.841725029,2,-1880.39308,-21.0113813,-0.0774966556,-0.0633450986,-0.106217168,1.16303452,4.97586559,4.01061008,0,0,0
2084089,3.65368248,0.0639693012,11.9883451,-0.290216112,3,558,0,2,0,0,16,0,0.868347075,3,292.343308,-14.2658044,-0.037494706,0.0750579685,0.183708929,1.03592447,4.45506386,3.76062399,0,0,0
5308876,2.97396966,-0.161520811,11.9,-0.272832896,1,853,0,1,1,0,19,0,0.816870104,4,-756.603074,-3.32526144,-0.0586268696,0.0355396349,-0.162679469,1.27547892,4.05735455,3.73100809,0,0,0
649991,3.51108541,0.128154935,11.998026,-0.275283512,2,136,0,1,0,1,13,0,0.7265239,2,332.050579,2.78124049,0.0662542883,-0.0685213088,0.0148295412,0.00425496073,3.94229267,2.38156461,0,0,0
658532,3.08588202,0.128341507,11.85,-0.298936542,2,444,0,1,0,0,20,3,0.824199306,3,-395.720284,-15.8022277,-0.0186113911,0.0380892606,-0.194517924,0.948551992,4.33283135,3.62617435,0,2,0
666554,3.0214037,-0.0075611435,11.85,-0.297136089,1,722,0,0,1,0,8,3,0.780488931,3,929.149857,46.9513653,-0.0101493981,-0.0628451059,0.0130285273,1.16846803,4.64155677,3.84918484,0,0,0
976329,3.4313076,-0.043850393,11.9937493,-0.359841386,4,292,0,1,1,1,17,0,0.854232093,3,-466.687554,-12.7008186,-0.206181928,0.0808820309,-0.0551332867,1.00417609,4.02011885,2.85356945,0,0,0
1245419,2.84237099,-0.0472597731,11.9,-0.272498161,4,222,0,1,0,1,12,0,0.771401972,2,-243.672592,-3.97710546,-0.0686874741,0.18520602,-0.316894683,0.695024321,3.92631116,2.74992186,0,0,0
3245970,3.47844024,-0.107499947,11.9966402,-0.337999007,1,1018,0,1,1,0,21,0,0.834385569,4,649.354169,12.8117044,-0.00996820798,0.00234319837,-0.0517022359,1.389939,4.0718151,3.81062815,0,0,0
650772,3.17048168,0.160379835,11.9936812,-0.357577406,5,435,0,2,2,0,23,2,0.752912389,3,181.326367,-0.23161696,-0.0324426251,-0.0089935873,0.0983562924,1.36868262,4.63415567,3.89268033,0,0,0
2201551,2.89160103,-0.00265816866,11.85,-0.280386939,2,526,0,1,0,0,20,4,0.987399427,3,-28.2542011,-10.3629844,-0.0351427715,0.0005530346,-0.1,0.960278991,4.60914204,3.3780901,0,2,0
3239940,3.14701201,-0.0881442196,11.9,-0.382632974,1,475,0,0,1,0,15,2,0.889751788,2,77.7281339,3.92122033,-0.028958609,0.0358268391,-0.0278400458,1.19033941,4.11077017,3.31475265,0,0,0
3240952,3.22885873,-0.0969996733,11.9936712,-0.371171353,2,555,0,0,2,0,15,0,0.90573787,3,183.988903,9.19057397,-0.00725860504,0.00308755416,-0.0452663122,1.25843916,4.08050663,3.28607077,0,0,0
3241578,3.25875455,-0.0368039129,11.85,-0.348735399,3,615,0,0,1,0,15,0,0.885548391,3,42.0297042,1.81872502,-0.00284507576,0.0256321224,-0.0487457945,1.1824029,4.07140253,3.27752502,0,0,0
3246790,3.40828002,0.0589855979,11.9884372,-0.271847847,2,226,0,1,0,2,14,0,0.873524834,3,-75.562147,25.0750017,0.0844347742,0.0364051814,0.114294073,0.423769799,3.86365704,2.76778523,1,1,0
296003,2.90785502,0.0535854515,11.85,-0.313244386,3,221,0,0,2,0,16,0,0.87797567,3,-102.416297,-4.02288741,-0.030515854,0.0487138252,-0.252635054,0.5653771,3.97976012,2.72797195,0,2,0
664366,2.94109836,-0.0105058592,11.85,-0.297132478,1,668,0,0,1,0,8,4,0.955798714,2,-1962.75754,-4.77400351,-0.0228514246,-0.0253706625,-0.145550185,1.31777754,4.74207225,3.89234588,0,0,0
3240114,3.51884245,0.0912526445,11.9979568,-0.348750598,4,561,0,1,0,1,24,0,0.701514467,3,244.251493,9.12216668,-0.00304078067,-0.00610780957,0.107330625,1.12757865,4.55640809,3.75,0,0,0
