outer_fold,n_train,n_test,train_actives,test_actives,roc_auc,ef1_percent,best_inner_roc_auc,best_C,best_gamma,runtime_seconds,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1
1,12023,3006,24,6,0.7656666666666666,32.322580645161295,0.7725696814828709,10.0,scale,1292.571702083,0.000876792972680915,0.6214238190286094,0.6439999999999999,0.0035087719298245615,0.6666666666666666,0.6213333333333333,0.006980802792321117
2,12023,3006,24,6,0.9443888888888888,64.64516129032259,0.8222648552763191,0.1,0.001,1333.1500282499999,0.0027386387067340366,0.8506320691949435,0.8420000000000001,0.011037527593818985,0.8333333333333334,0.8506666666666667,0.02178649237472767
3,12023,3006,24,6,0.8685555555555556,16.161290322580648,0.8534832484162708,0.1,0.001,1338.3532061249998,0.00247264107046085,0.8436460412508316,0.7553333333333333,0.00847457627118644,0.6666666666666666,0.844,0.016736401673640166
4,12023,3006,24,6,0.9473888888888888,48.483870967741936,0.767554273985163,0.1,0.001,1367.9852837499998,0.007707383858741342,0.9504324683965403,0.7256666666666667,0.020134228187919462,0.5,0.9513333333333334,0.03870967741935484
5,12024,3005,24,6,0.8492275202845393,48.46774193548387,0.8349895833333333,10.0,scale,1273.4768189999995,0.0018334673212791117,0.799667221297837,0.8164665999777704,0.00825082508250825,0.8333333333333334,0.7995998666222074,0.016339869281045753
