Feature,Importance
630000000,0.0003009172893607614
139000000,0.0003215406805577333
962000000,0.0003256244294749953
1054000000,0.00032588845142111905
1431000000,0.00032757367531620536
1420000000,0.0003334019707790756
1116000000,0.0003404290979656359
1170000000,0.00034923066364614023
1003000000,0.0003529338379166818
690000000,0.0003642273802535975
1369000000,0.00036470657751761014
1424000000,0.00039522246571664546
1402000000,0.0004018690761122847
1169000000,0.0004208085506716931
710000000,0.0004213893435502512
1110000000,0.0004451932066025799
178000000,0.0004583415177352041
639000000,0.00046494101896946995
174000000,0.00047049504197607585
715000000,0.0004741842005643237
929000000,0.0004863588926835993
646000000,0.0005340837124559549
725000000,0.0005797821938739364
928000000,0.00062094657629064
902000000,0.0006378001118000052
