Molecules,139000000,167000000,174000000,177000000,178000000,609000000,630000000,639000000,646000000,690000000,710000000,711000000,715000000,716000000,725000000,902000000,928000000,929000000,932000000,962000000,991000000,1003000000,1004000000,1005000000,1025000000,1029000000,1054000000,1066000000,1084000000,1088000000,1110000000,1116000000,1168000000,1169000000,1170000000,1171000000,1204000000,1369000000,1370000000,1383000000,1386000000,1394000000,1397000000,1398000000,1402000000,1417000000,1420000000,1424000000,1428000000,1431000000
749826,2,8.54985769,0.0235936913,-0.293546101,0.550851237,3,0,0,0,15,0.0,0.0,0.8,0.848976831,2,7.55982239,3.19298246,3.02731092,3.02511416,0.202776426,-4.0668146,0.000871955805,-0.000478628067,0.000114832267,0.00494576649,-0.0364416181,-0.0428085747,-0.0508970386,0.0778662247,-0.573737404,-0.0246367468,1.20471002,2.47606533,1.05316657,1.4426373,0.546125688,4.04050268,4,0,0,0,0,0,1,0,0,0,0,0,0
887464,3,3.56978687,0.0278699967,-0.274789013,0.520071337,4,1,0,0,14,0.5,1.0,1.0,0.872436271,2,7.77181105,3.72327044,3.92239859,3.17647059,-0.018146102,2.08333333,-0.00083430311,-0.000155250349,-4.22807335e-05,-0.000625727657,0.00176414426,0.0393081761,-0.0112122257,-0.00928996187,0.0261916391,0.025728988,1.68682782,1.01930139,1.5262013,1.40878533,0.735111317,3.96554631,4,0,0,0,0,0,1,0,0,0,0,0,0
976363,1,3.25400039,0.0346578641,-0.345995086,0.605762517,3,0,0,1,20,0.0,0.5,1.0,0.798305087,3,8.29174965,4.07692667,4.0184351,3.42030272,-0.137119355,12.2602948,0.00354615637,0.000430608692,-0.0018859799,-0.00334437451,-0.0124856672,0.185762043,0.0229343481,-0.0319057652,-0.119114879,0.144803124,1.38942334,1.19397677,1.17477644,1.48443436,1.44387454,3.99500901,6,0,0,0,0,0,2,0,0,0,0,0,0
3236240,2,4.33800474,0.0463387066,-0.377957602,0.679689683,7,0,1,1,21,0.0,0.0,0.857142857,0.844169917,2,8.18676375,3.50549383,4.12872448,2.94737654,0.207479209,10.8367944,0.00403106547,-0.00325012776,-0.000188464903,0.00461064909,-0.0138992057,0.108367944,-0.186113373,0.0411448259,-0.124034683,0.0451511131,1.50930487,1.60414227,0.860791176,0.712932757,0.726652517,4.06450411,3,2,1,0,1,0,2,2,1,0,2,1,0
3238191,0,8.41847364,0.0486147361,-0.273061893,0.525156376,2,0,0,1,13,0.0,0.333333333,0.833333333,0.852194046,3,8.16772646,3.12482853,3.87583591,3.94285145,0.196856623,6.90117585,0.00415346163,0.000365552585,-0.00347041183,0.00635021365,-0.013086159,0.127799553,0.0275991584,0.0804553926,-0.165797895,0.0896667388,1.32479627,1.12886578,1.71283563,2.02322626,1.17141488,3.94771384,4,0,0,0,0,0,3,0,0,0,0,0,0
658778,2,1.02779579,0.0252981508,-0.312070287,0.605273031,5,0,0,1,25,0.0,0.333333333,1.0,0.87906121,3,8.17568949,3.70474407,4.16064257,3.28300654,-0.202937376,-12.3883638,0.00326197754,6.70001051e-05,-0.00211482244,-0.004227862,-0.024156701,-0.139195099,0.00369349006,-0.0405479654,-0.231678582,-0.0827092499,1.60499565,1.33688248,0.647519407,0.711307241,1.23118175,3.96837399,6,0,0,0,0,0,1,0,0,0,0,0,0
2084089,3,2.38817661,0.0401432699,-0.29006264,0.548756725,6,1,0,0,16,0.687786244,0.626119207,1.0,0.868347075,3,7.96117264,3.83202921,3.99839963,3.14605735,0.0124753477,9.19555892,0.000454955275,-0.000299663883,-0.00212297048,0.00031988071,-0.0208395768,0.129514914,-0.018299328,0.00484066809,-0.315359667,0.0750579685,1.40552517,1.45775887,0.523617757,1.0085271,0.85080167,3.98151201,5,0,0,0,0,0,2,0,0,0,0,0,0
649991,0,5.40235984,0.0625912179,-0.274788826,0.526724954,4,1,0,0,13,0.5,1.0,1.0,0.7265239,2,8.53051814,4.11529271,6.13249559,2.28571429,-0.229517612,-4.3756284,0.000558578585,-0.00443999395,0.00837720119,-0.0114758806,-0.0300638183,-0.141149303,-0.216824035,-0.135741715,-0.355607941,-0.0685213088,1.62235795,1.70524851,0.415481576,0.624153457,0.0,3.93955418,2,0,0,0,0,0,2,0,0,0,0,0,0
658532,2,1.58668701,0.0620410226,-0.298814829,0.593695982,5,0,0,0,20,0.0,1.0,1.0,0.824199306,2,8.29166846,4.18159204,4.92592593,4.18579235,0.222635121,5.27155421,-0.00191751434,-0.000400117323,0.00157475345,0.00618430892,-0.000175757093,0.0786799136,-0.0246288587,0.0663171788,-0.00188472386,0.0380892606,1.3956041,1.49867562,1.30170186,1.01493974,0.738905588,4.07433428,2,2,0,0,0,0,1,0,0,0,0,0,0
