outer_fold,n_train,n_test,train_actives,test_actives,n_features_before_shap,n_selected_features,roc_auc,ef1_percent,best_inner_roc_auc,best_C,best_gamma,shap_runtime_seconds,total_fold_runtime_seconds,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1
1,12023,3006,24,6,742,50,0.8025555555555556,0.0,0.9023905169000583,0.1,0.001,338.5375175,388.05732562500003,0.0028971834326353093,0.8662674650698603,0.7666666666666666,0.009900990099009901,0.6666666666666666,0.8666666666666667,0.01951219512195122
2,12023,3006,24,6,743,50,0.9423888888888889,64.64516129032259,0.941735707364341,0.1,scale,2687.557545875,2727.203172583,0.0014616264974821743,0.8203592814371258,0.8268333333333333,0.009191176470588236,0.8333333333333334,0.8203333333333334,0.01818181818181818
3,12023,3006,24,6,743,50,0.9128333333333334,0.0,0.9479108787613569,0.1,0.001,2706.7119571249996,2760.1716663749994,0.006363239510010778,0.9411177644710579,0.8873333333333333,0.027624309392265192,0.8333333333333334,0.9413333333333334,0.053475935828877004
4,12023,3006,24,6,743,50,0.9482222222222222,0.0,0.9369945455113778,0.1,0.001,2716.0457084579994,2773.955534875,0.0041561612576207045,0.9008649367930806,0.9503333333333333,0.019736842105263157,1.0,0.9006666666666666,0.03870967741935484
5,12024,3005,24,6,743,50,0.9868845170612427,80.77956989247312,0.8837604166666667,0.1,scale,368.3126393750008,405.4489774579997,0.0012934210527440436,0.6995008319467554,0.8494498166055352,0.006600660066006601,1.0,0.6988996332110704,0.013114754098360656
